tiki_pid,sku,name,url_key,url_path,price,discount,discount_rate,rating_average,review_count,thumbnail_url,seller_product_id,original_price,isGiftAvailable,is_from_official_store,tiki_verified,seller_product_sku,origin,availability,primary_category_path,shippable,seller_name,tiki_hero,imported,thumbnail_width,is_nextday_delivery,is_tikinow_delivery,seller_id,is_normal_delivery,brand_name,primary_category_name,brand_id,thumbnail_height,is_authentic,productset_id,master_product_sku,quantity_sold_value,category_l1_name,category_l2_name,category_l3_name,seller_type,is_imported,layout_type,video_url,fastest_delivery_time,order_route,ingestion_dt_unix,ingestion_date
548888,1224949455366,Combo 4 Hũ Thủy Tinh Quattro Bormioli Rocco QS7,combo-4-hu-thuy-tinh-quattro-bormioli-rocco-qs7-p548888,combo-4-hu-thuy-tinh-quattro-bormioli-rocco-qs7-p548888.html?spid=273195,357000,128000,26,4.6,10,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/2/1224949455366.u2566.d20161018.t160413.917729.jpg,273195,485000,False,False,1,1224949455366,Ý,1,1/2/1883/1951/23128/6948,True,Tiki Trading,1,Italy,280,False,True,1,False,Bormioli Rocco,"Hũ, lọ đựng gia vị",41506.0,280,1,4129,1224676627876,303,Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ chứa đựng thực phẩm,OFFICIAL_STORE,True,,,,,1710308519,2024-03-13
273532024,9402014918334,"[Combo 3 lon còn 1tr550] Sữa Bột Nutifood GrowPLUS+ Suy Dinh Dưỡng 1.5kg - Tăng Cân, Tăng Chiều Cao (Lon 1.5kg)",sua-bot-nutifood-growplus-suy-dinh-duong-1-5kg-tang-can-tang-chieu-cao-lon-1-5kg-p273532024,sua-bot-nutifood-growplus-suy-dinh-duong-1-5kg-tang-can-tang-chieu-cao-lon-1-5kg-p273532024.html?spid=273532028,565000,319000,36,5.0,7,https://salt.tikicdn.com/cache/280x280/ts/product/09/a7/dd/3543acd68b2523eb3c8412aae2d5b742.png,273532028,884000,False,False,1,9402014918334,Việt Nam,1,1/2/2549/8339/10419,True,Tiki Trading,1,,280,False,True,1,False,NutiFood,Sữa công thức pha sẵn,153438.0,280,1,2135,5421982885191,3015,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,,OFFICIAL_STORE,False,,,,,1710308519,2024-03-13
56094765,9110393150887,Bộ 4 kem đánh răng làm trắng răng Colgate Optic White từ khoáng núi lửa 100g,bo-4-kem-danh-rang-lam-trang-rang-colgate-optic-white-tu-khoang-nui-lua-100g-p56094765,bo-4-kem-danh-rang-lam-trang-rang-colgate-optic-white-tu-khoang-nui-lua-100g-p56094765.html?spid=273203094,165000,35000,18,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/65/45/01/fca0b74f66531109e0cf37a7cb5509f3.png,273203094,200000,False,False,1,9110393150887,Trung Quốc,1,1/2/1520/1594/1625/11835,True,Tiki Trading,1,,280,False,True,1,,Colgate,Kem đánh răng,79682.0,280,1,1257,3696393805628,13,Làm Đẹp - Sức Khỏe,Chăm sóc cá nhân,Chăm sóc răng miệng,OFFICIAL_STORE,False,grid_view,https://salt.tikicdn.com/ts/video/2d/b5/e7/e1c1382f6ace1849523ab69ea09ef601.mp4,,,1710308519,2024-03-13
184476147,2833967241350,Bộ đôi Sữa rửa mặt tạo bọt Collagen cho da Khô - Sạch Sâu SENKA PERFECT WHIP COLLAGEN IN 120g,bo-doi-sua-rua-mat-tao-bot-collagen-cho-da-kho-sach-sau-senka-perfect-whip-collagen-in-120g-p184476147,bo-doi-sua-rua-mat-tao-bot-collagen-cho-da-kho-sach-sau-senka-perfect-whip-collagen-in-120g-p184476147.html?spid=272310544,173000,65000,27,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/be/64/52/6be212e64fdc9bbd985eef9a38c95c73.png,272310544,238000,False,False,1,2833967241350,Nhật Bản,1,1/2/1520/1582/1583,True,Tiki Trading,1,Japan,280,False,True,1,False,Senka,Sữa rửa mặt,86206.0,280,1,1071,4187639742470,2779,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,,,,,1710308519,2024-03-13
272125975,7490306649809,Nước tẩy trang Simple Micellar làm sạch trang điểm vượt trội - không chứa cồn gây khô rát 400ml [CHÍNH HÃNG ĐỘC QUYỀN],nuoc-tay-trang-simple-micellar-lam-sach-trang-diem-vuot-troi-khong-chua-con-gay-kho-rat-400ml-chinh-hang-doc-quyen-p272125975,nuoc-tay-trang-simple-micellar-lam-sach-trang-diem-vuot-troi-khong-chua-con-gay-kho-rat-400ml-chinh-hang-doc-quyen-p272125975.html?spid=272125976,189000,31000,14,5.0,8,https://salt.tikicdn.com/cache/280x280/ts/product/72/23/0e/36d78dd3d51be50c3f287a7a4c9e8440.jpg,272125976,220000,False,False,1,7490306649809,Ba Lan,1,1/2/1520/1582/11605,True,Tiki Trading,1,Poland,280,False,True,1,False,SIMPLE,Tẩy trang,185075.0,280,1,1053,4374259147106,1528,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,,,,,1710308519,2024-03-13
115669047,7442834927703,"Nước lau sàn Gift Tinh chất Thiên Nhiên _ can 3,8 kg (Nhiều mùi hương)",nuoc-lau-san-gift-tinh-chat-thien-nhien-_-can-3-8-kg-nhieu-mui-huong-p115669047,nuoc-lau-san-gift-tinh-chat-thien-nhien-_-can-3-8-kg-nhieu-mui-huong-p115669047.html?spid=271967694,83400,9500,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/3e/ee/5e/38f4b4436b59c82911b4d774fe3db01a.png,271967694,92900,False,False,1,7442834927703,Việt Nam,1,1/2/2549/15078/4399/4398,True,Tiki Trading,1,,280,False,True,1,False,GIFT,Nước lau sàn,261245.0,280,1,2777,7377452595631,3441,Đồ Chơi - Mẹ & Bé,Chăm sóc nhà cửa,Vệ sinh nhà bếp,OFFICIAL_STORE,False,,,,,1710308519,2024-03-13
270851667,8398718337298,Mặt nạ giấy dưỡng da Hàn Quốc innisfree My Real Squeeze Mask 22ml,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667.html?spid=270851673,23000,4000,15,5.0,20,https://salt.tikicdn.com/cache/280x280/ts/product/bf/53/49/430b29b61f126f6852fab8e5fb9ba8e6.jpg,270851673,27000,False,False,1,8398718337298,Hàn Quốc,1,1/2/1520/1582/1601,True,Tiki Trading,1,Korea,280,False,True,1,False,Innisfree,Mặt nạ,202607.0,280,1,993,2802466719573,2117,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,,,,,1710308519,2024-03-13
252608882,4825599512084,Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882.html?spid=252608883,365000,280750,43,4.8,306,https://salt.tikicdn.com/cache/280x280/ts/product/91/49/c8/755d45d6db913492c801f42a6244f9ae.jpg,252608883,645750,False,False,1,4825599512084,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,,280,False,True,1,,Huggies,Tã quần,26702.0,280,1,1907,9207257987600,8972,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,grid_view,,,,1710308519,2024-03-13
252608902,1122504140413,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size XL 60 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-xl-60-mieng-p252608902,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-xl-60-mieng-p252608902.html?spid=252608904,270000,203130,43,5.0,36,https://salt.tikicdn.com/cache/280x280/ts/product/7f/2e/b7/9f20be621cce5ff6d1aa20f12ceeb3a8.jpg,252608904,473130,False,False,1,1122504140413,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,9235196592172,8952,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,1710308519,2024-03-13
252608891,1033225203769,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size M 76+8 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891.html?spid=252608895,279000,194130,41,5.0,161,https://salt.tikicdn.com/cache/280x280/ts/product/5a/e0/43/2eb01f42fae6f5d263eed5f898f2c1eb.jpg,252608895,473130,False,False,1,1033225203769,Việt Nam,1,1/2/2549/2551/2553,True,Tiki Trading,1,,280,False,True,1,False,Huggies,Tã quần,26702.0,280,1,1907,2316696082775,21885,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,1710308519,2024-03-13
