tiki_pid,sku,name,url_key,url_path,price,discount,discount_rate,rating_average,review_count,thumbnail_url,seller_product_id,original_price,isGiftAvailable,is_from_official_store,tiki_verified,seller_product_sku,origin,layout_type,availability,primary_category_path,shippable,seller_name,tiki_hero,imported,thumbnail_width,is_nextday_delivery,is_tikinow_delivery,seller_id,brand_name,primary_category_name,brand_id,thumbnail_height,is_authentic,productset_id,master_product_sku,quantity_sold_value,category_l1_name,category_l2_name,category_l3_name,seller_type,is_imported,is_normal_delivery,video_url,fastest_delivery_time,earliest_delivery_estimate,order_route,ingestion_dt_unix,ingestion_date
270851667,8398718337298,Mặt nạ giấy dưỡng da Hàn Quốc innisfree My Real Squeeze Mask 22ml,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667,mat-na-giay-duong-da-han-quoc-innisfree-my-real-squeeze-mask-22ml-p270851667.html?spid=270851673,22000,5000,19,5.0,20,https://salt.tikicdn.com/cache/280x280/ts/product/86/f8/b5/c75e6fc624b086e48ef2bed176cb558e.png,270851673,27000,False,False,1,8398718337298,Hàn Quốc,grid_view,1,1/2/1520/1582/1601,True,Tiki Trading,0,Korea,280,False,True,1,Innisfree,Mặt nạ,202607.0,280,1,993,2802466719573,2191,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,,OFFICIAL_STORE,True,,,,,,1711993659,2024-04-01
252608882,4825599512084,Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882,thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882.html?spid=252608883,365000,280750,43,4.8,329,https://salt.tikicdn.com/cache/280x280/ts/product/91/49/c8/755d45d6db913492c801f42a6244f9ae.jpg,252608883,645750,False,False,1,4825599512084,Việt Nam,,1,1/2/2549/2551/2553,True,Tiki Trading,0,,280,False,True,1,Huggies,Tã quần,26702.0,280,1,1907,9207257987600,9302,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,False,,,,,1711993659,2024-04-01
252608891,1033225203769,Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size M 76+8 miếng,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891,ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891.html?spid=252608895,289000,184130,39,5.0,168,https://salt.tikicdn.com/cache/280x280/ts/product/5a/e0/43/2eb01f42fae6f5d263eed5f898f2c1eb.jpg,252608895,473130,False,False,1,1033225203769,Việt Nam,grid_view,1,1/2/2549/2551/2553,True,Tiki Trading,0,,280,False,True,1,Huggies,Tã quần,26702.0,280,1,1907,2316696082775,23963,Đồ Chơi - Mẹ & Bé,"Tã, Bỉm",,OFFICIAL_STORE,False,,,,,,1711993659,2024-04-01
210966404,4061404332793,"Combo Sữa dưỡng thể Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày Bảo vệ, dưỡng sáng mịn và Dưỡng sáng chuyên sâu 330 ML",combo-sua-duong-the-vaseline-gluta-hya-duong-da-sang-min-sau-7-ngay-bao-ve-duong-sang-min-va-duong-sang-chuyen-sau-330-ml-p210966404,combo-sua-duong-the-vaseline-gluta-hya-duong-da-sang-min-sau-7-ngay-bao-ve-duong-sang-min-va-duong-sang-chuyen-sau-330-ml-p210966404.html?spid=210966406,226000,74000,25,4.7,43,https://salt.tikicdn.com/cache/280x280/ts/product/60/e8/f3/f1ea52ac7e99853696ce0aaac71f8080.png,210966406,300000,False,False,1,4061404332793,Thái Lan,,1,1/2/1520/1592/1610/4413,True,Tiki Trading,0,,280,False,True,1,Vaseline,Sữa dưỡng thể,21274.0,280,1,899,2891534062382,2127,Làm Đẹp - Sức Khỏe,Chăm sóc cơ thể,Dưỡng Thể,OFFICIAL_STORE,False,,https://salt.tikicdn.com/ts/video/51/3a/ea/44912acc8c6039e2df2591c8bd30d134.mp4,,,,1711993659,2024-04-01
203853390,6107788161435,Điện Thoại Oppo A17k (3GB/64GB),dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p203853390,dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p203853390.html?spid=203853392,2390000,900000,27,5.0,92,https://salt.tikicdn.com/cache/280x280/ts/product/87/d6/f6/926ea20aa6d1c89d05bb269762229923.jpg,203853392,3290000,False,False,1,6107788161435,Trung Quốc,,1,1/2/1789/1795,True,Tiki Trading,0,,280,False,True,1,OPPO,Điện thoại Smartphone,25643.0,280,1,2647,8419196146767,9238,Điện Thoại - Máy Tính Bảng,,,OFFICIAL_STORE,False,,,,,,1711993659,2024-04-01
200629270,2519676253504,[Tặng bình giữ nhiệt 1.5L]Combo 2 bịch cà phê hòa tan Nescafé 3in1 vị nguyên bản - công thức cải tiến (Bịch 46 gói x 16g),combo-2-bich-ca-phe-hoa-tan-nescafe-3in1-vi-nguyen-ban-cong-thuc-cai-tien-bich-46-goi-tang-bo-3-ly-thuy-tinh-p200629270,combo-2-bich-ca-phe-hoa-tan-nescafe-3in1-vi-nguyen-ban-cong-thuc-cai-tien-bich-46-goi-tang-bo-3-ly-thuy-tinh-p200629270.html?spid=200629271,253000,56000,18,5.0,35,https://salt.tikicdn.com/cache/280x280/ts/product/1f/aa/13/c1c9134a703a904a05d176723b2e7d11.jpg,200629271,309000,False,False,1,2519676253504,Việt Nam,,1,1/2/4384/22998/4423,True,Tiki Trading,0,,280,False,False,1,NESCAFÉ,Cà phê,33560.0,280,1,2797,1335918660832,4482,Bách Hóa Online,Đồ uống,,OFFICIAL_STORE,False,,,2024-04-02 18:00:00,2024-04-02 13:00:00,same_province,1711993659,2024-04-01
195357772,4882924146795,Máy Tính CASIO FX-880BTG - Màu Đen,may-tinh-casio-fx-880btg-mau-den-p195357772,may-tinh-casio-fx-880btg-mau-den-p195357772.html?spid=195924914,657000,143000,18,5.0,188,https://salt.tikicdn.com/cache/280x280/ts/product/6a/52/1c/b3ca29ce5f953637e72f2320b6b7d161.jpg,195924914,800000,False,False,1,4882924146795,Thái Lan,,1,1/2/8322/7741/2452/1925,True,Tiki Trading,0,,280,False,True,1,Casio,Máy tính bỏ túi,26150.0,280,1,226,1365685027390,768,Nhà Sách Tiki,Văn phòng phẩm,Máy Tính Điện Tử,OFFICIAL_STORE,False,False,,,,,1711993659,2024-04-01
195109412,2566430088910,"Bộ nồi Inox dập nguyên khối Elmich Trimax Classic EL-2110OL Size 18, 20, 24, chảo 26cm",bo-noi-inox-dap-nguyen-khoi-elmich-trimax-classic-el-2110ol-size-18-20-24-chao-26cm-p195109412,bo-noi-inox-dap-nguyen-khoi-elmich-trimax-classic-el-2110ol-size-18-20-24-chao-26cm-p195109412.html?spid=195109415,1850000,1700000,48,4.7,22,https://salt.tikicdn.com/cache/280x280/ts/product/91/3b/57/21660068c2950d2a4a6f64a278ae972a.jpg,195109415,3550000,False,False,1,2566430088910,Trung Quốc,,1,1/2/1883/1951/53052/2136,True,Tiki Trading,0,,280,False,True,1,Elmich,Bộ nồi,31627.0,280,1,4013,1520237897843,128,Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Nồi và chảo,OFFICIAL_STORE,False,,,,,,1711993659,2024-04-01
193570411,2910481289434,Nồi áp suất Elmich PCE-1805 dung tích 2.5L - Hàng Chính Hãng,noi-ap-suat-elmich-pce-1805-dung-tich-2-5l-hang-chinh-hang-p193570411,noi-ap-suat-elmich-pce-1805-dung-tich-2-5l-hang-chinh-hang-p193570411.html?spid=193570412,999000,1091000,52,5.0,34,https://salt.tikicdn.com/cache/280x280/ts/product/ab/b5/de/86e584a77eb24801aed7c54e4191c8e0.jpg,193570412,2090000,False,False,1,2910481289434,Trung Quốc,,1,1/2/1882/1884/1892/1894,True,Tiki Trading,0,,280,False,True,1,Elmich,Nồi áp suất điện,31627.0,280,1,2659,3741068286780,188,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,OFFICIAL_STORE,False,,,,,,1711993659,2024-04-01
186118365,8426733153643,Sữa bột Vinamilk Dielac Alpha Gold 2 800g (cho trẻ từ 6 - 12 tháng tuổi),sua-bot-vinamilk-dielac-alpha-gold-2-800g-cho-tre-tu-6-12-thang-tuoi-p186118365,sua-bot-vinamilk-dielac-alpha-gold-2-800g-cho-tre-tu-6-12-thang-tuoi-p186118365.html?spid=186118366,305000,0,0,5.0,21,https://salt.tikicdn.com/cache/280x280/ts/product/a0/12/fd/01e917d2903a2b937ef96b35b1dc652b.jpg,186118366,305000,False,False,1,8426733153643,Việt Nam,,1,1/2/2549/8339/2600/2601,True,Tiki Trading,0,,280,False,True,1,Vinamilk,Sữa cho bé dưới 24 tháng ,65122.0,280,1,1951,1509598494980,21592,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,False,False,,,,,1711993659,2024-04-01
