tiki_pid,sku,name,url_key,url_path,price,discount,discount_rate,rating_average,review_count,thumbnail_url,seller_product_id,original_price,isGiftAvailable,is_from_official_store,tiki_verified,seller_product_sku,origin,layout_type,availability,primary_category_path,shippable,seller_name,tiki_hero,thumbnail_width,is_nextday_delivery,is_tikinow_delivery,seller_id,brand_name,primary_category_name,brand_id,thumbnail_height,is_authentic,productset_id,master_product_sku,quantity_sold_value,category_l1_name,category_l2_name,category_l3_name,seller_type,is_imported,fastest_delivery_time,order_route,is_normal_delivery,imported,video_url,ingestion_dt_unix,ingestion_date
200629270,2519676253504,[Tặng Bộ 3 ly thủy tinh cao cấp NESCAFE] Combo 2 Bịch NESCAFÉ 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói,combo-2-bich-ca-phe-hoa-tan-nescafe-3in1-vi-nguyen-ban-cong-thuc-cai-tien-bich-46-goi-tang-bo-3-ly-thuy-tinh-p200629270,combo-2-bich-ca-phe-hoa-tan-nescafe-3in1-vi-nguyen-ban-cong-thuc-cai-tien-bich-46-goi-tang-bo-3-ly-thuy-tinh-p200629270.html?spid=200629271,228500,80500,26,5.0,49,https://salt.tikicdn.com/cache/280x280/ts/product/98/e5/d0/62ee9d1164dec50f0c80d934d937adda.jpg,200629271,309000,False,False,1,2519676253504,Việt Nam,grid_view,1,1/2/4384/22998/4423/68622,True,Tiki Trading,0,280,False,True,1,NESCAFÉ,Cà phê hòa tan,33560.0,280,1,2797,1335918660832,6513,Bách Hóa Online,Đồ uống,Cà phê,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
195357772,4882924146795,Máy Tính CASIO FX-880BTG - Màu Đen,may-tinh-casio-fx-880btg-mau-den-p195357772,may-tinh-casio-fx-880btg-mau-den-p195357772.html?spid=195924914,698000,102000,13,5.0,194,https://salt.tikicdn.com/cache/280x280/ts/product/6a/52/1c/b3ca29ce5f953637e72f2320b6b7d161.jpg,195924914,800000,False,False,1,4882924146795,Thái Lan,,1,1/2/8322/7741/2452/1925,True,Tiki Trading,1,280,False,False,1,Casio,Máy tính bỏ túi,26150.0,280,1,226,1365685027390,794,Nhà Sách Tiki,Văn phòng phẩm,Máy Tính Điện Tử,OFFICIAL_STORE,False,2024-05-13 19:00:00,hn_hcm,,,,1715265980,2024-05-09
195109412,2566430088910,"Bộ nồi Inox dập nguyên khối Elmich Trimax Classic EL-2110OL Size 18, 20, 24, chảo 26cm",bo-noi-inox-dap-nguyen-khoi-elmich-trimax-classic-el-2110ol-size-18-20-24-chao-26cm-p195109412,bo-noi-inox-dap-nguyen-khoi-elmich-trimax-classic-el-2110ol-size-18-20-24-chao-26cm-p195109412.html?spid=195109415,1730000,1820000,51,4.7,24,https://salt.tikicdn.com/cache/280x280/ts/product/91/3b/57/21660068c2950d2a4a6f64a278ae972a.jpg,195109415,3550000,False,False,1,2566430088910,Trung Quốc,,1,1/2/1883/1951/53052/2136,True,Tiki Trading,1,280,False,True,1,Elmich,Bộ nồi,31627.0,280,1,4013,1520237897843,138,Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Nồi và chảo,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
193570411,2910481289434,Nồi áp suất Elmich PCE-1805 dung tích 2.5L - Hàng Chính Hãng,noi-ap-suat-elmich-pce-1805-dung-tich-2-5l-hang-chinh-hang-p193570411,noi-ap-suat-elmich-pce-1805-dung-tich-2-5l-hang-chinh-hang-p193570411.html?spid=193570412,920000,1170000,56,4.7,40,https://salt.tikicdn.com/cache/280x280/ts/product/ab/b5/de/86e584a77eb24801aed7c54e4191c8e0.jpg,193570412,2090000,False,False,1,2910481289434,Trung Quốc,grid_view,1,1/2/1882/1884/1892/1894,True,Tiki Trading,1,280,False,True,1,Elmich,Nồi áp suất điện,31627.0,280,1,2659,3741068286780,237,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
186118365,8426733153643,Sữa bột Vinamilk Dielac Alpha Gold 2 800g (cho trẻ từ 6 - 12 tháng tuổi),sua-bot-vinamilk-dielac-alpha-gold-2-800g-cho-tre-tu-6-12-thang-tuoi-p186118365,sua-bot-vinamilk-dielac-alpha-gold-2-800g-cho-tre-tu-6-12-thang-tuoi-p186118365.html?spid=186118366,305000,0,0,5.0,22,https://salt.tikicdn.com/cache/280x280/ts/product/a0/12/fd/01e917d2903a2b937ef96b35b1dc652b.jpg,186118366,305000,False,False,1,8426733153643,Việt Nam,,5,1/2/2549/8339/2600/2601,True,Tiki Trading,0,280,False,False,1,Vinamilk,Sữa cho bé dưới 24 tháng ,65122.0,280,1,1951,1509598494980,22515,Đồ Chơi - Mẹ & Bé,Dinh dưỡng cho bé,Sữa bột cho bé,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
147903537,8854194136208,Bếp Từ Đơn Sunhouse SHD6157 (1800W) - Kèm Nồi Lẩu - Hàng Chính Hãng,be-p-tu-don-sunhouse-shd6157-1800w-kem-noi-lau-hang-chinh-hang-p147903537,be-p-tu-don-sunhouse-shd6157-1800w-kem-noi-lau-hang-chinh-hang-p147903537.html?spid=147903539,599000,495000,45,4.7,295,https://salt.tikicdn.com/cache/280x280/ts/product/09/ac/d4/348d953818f4a00bccb58bf7a7be0153.png,147903539,1094000,False,False,1,8854194136208,Việt Nam,,1,1/2/1882/1884/1885/1887/23808,True,Tiki Trading,1,280,False,True,1,Sunhouse,Bếp điện từ đơn,41048.0,280,1,2737,8293191711699,3293,Điện Gia Dụng,Đồ dùng nhà bếp,Bếp các loại,OFFICIAL_STORE,False,,,False,,,1715265980,2024-05-09
143185998,9747094873612,Ăn Dặm Không Phải Là Cuộc Chiến (Tái Bản),an-dam-khong-phai-la-cuoc-chien-tai-ban-p143185998,an-dam-khong-phai-la-cuoc-chien-tai-ban-p143185998.html?spid=143185999,197000,92000,32,4.8,176,https://salt.tikicdn.com/cache/280x280/ts/product/93/53/df/689fe84de59073d15cf61859e34a32a1.jpg,143185999,289000,False,False,1,9747094873612,,,1,1/2/8322/316/2527/3272/68027,True,Tiki Trading,0,280,False,True,1,,Sách ăn dặm cho bé,,280,1,260,6339750658839,2019,Nhà Sách Tiki,Sách tiếng Việt,Nuôi dạy con,OFFICIAL_STORE,False,,,False,,,1715265980,2024-05-09
138934612,1290715497821,Combo 4 Cuốn: Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-5 Tuổi,combo-4-cuon-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-p138934612,combo-4-cuon-to-mau-phat-trien-tri-nao-bo-cho-be-1-5-tuoi-p138934612.html?spid=138934613,50500,13500,21,4.8,44,https://salt.tikicdn.com/cache/280x280/ts/product/35/2e/39/8f55af7870619ba3368c462edbdf2b59.jpg,138934613,64000,False,False,1,1290715497821,,grid_view,1,1/2/8322/316/393/856,True,Tiki Trading,1,280,False,True,1,,Tô màu - Luyện chữ  ,,280,1,252,1220778698989,369,Nhà Sách Tiki,Sách tiếng Việt,Sách thiếu nhi ,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
138481685,7999062493408,Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P8 (6GQ-01555) / P10 (6GQ-01896) - Hàng Chính Hãng,phan-mem-microsoft-365-family-english-apac-em-subscr-1yr-medialess-p8-6gq-01555-hang-chinh-hang-p138481685,phan-mem-microsoft-365-family-english-apac-em-subscr-1yr-medialess-p8-6gq-01555-hang-chinh-hang-p138481685.html?spid=138481687,1350000,140000,9,5.0,641,https://salt.tikicdn.com/cache/280x280/ts/product/fb/60/ff/5ea151187429cf474db56d7e58c42fa5.png,138481687,1490000,False,False,1,7999062493408,Singapore,grid_view,1,1/2/1846/12884/6255,True,Tiki Trading,1,280,False,True,1,Microsoft,Phần Mềm Máy Tính,19246.0,280,1,2529,5057438857877,3609,Laptop - Máy Vi Tính - Linh kiện,Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi,,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
110255220,8103561959401,Ấm đun nước siêu tốc Elmich Smartcook ICS-3859 (1.7 Lít) - Hàng chính hãng,am-dun-nuoc-sieu-toc-elmich-smartcook-ics-3859-1-7-lit-hang-chinh-hang-p110255220,am-dun-nuoc-sieu-toc-elmich-smartcook-ics-3859-1-7-lit-hang-chinh-hang-p110255220.html?spid=120765268,299000,280000,48,4.8,249,https://salt.tikicdn.com/cache/280x280/ts/product/45/30/89/0830a6b493ed2ac287ceb6f35e0cf549.jpg,120765268,579000,False,False,1,8103561959401,Trung Quốc,grid_view,1,1/2/1882/1884/1931,True,Tiki Trading,1,280,False,True,1,Smartcook,Bình đun siêu tốc,31626.0,280,1,2677,3762329844747,22565,Điện Gia Dụng,Đồ dùng nhà bếp,,OFFICIAL_STORE,False,,,,,,1715265980,2024-05-09
